"License No.","Business Name",DBA,"License Type",City,County,Expiration
DAAA-VKRC-CXKF,"BIG BUDS DISPENSARY INC","Big Buds Natural Releaf II Dispensary",Dispensary,SKIATOOK,Tulsa,2023-12-23
DAAA-FCZL-BTKN,"Health Express 6-T, LLC","Health Express 6-T, LLC",Dispensary,ENID,Garfield,2024-05-11
DAAA-E1D5-MWOU,"THOMAS RAY SMITH",CANNAISSEURS,Dispensary,Hartshorne,Pittsburg,2024-04-06
DAAA-KQRO-QHT2,"SB Mayfair LLC","Star Buds Mayfair",Dispensary,"OKLAHOMA CITY",Oklahoma,2022-10-20
DAAA-SQLZ-RQQ7,"Green Times Enterprises Inc","Healing Plants",Dispensary,LEBANON,Marshall,2024-01-10
DAAA-EJ6K-39DH,"Pasolindo LLC","Evergreen Cannabis Collective",Dispensary,"Oklahoma City",Oklahoma,2023-08-07
DAAA-EYHY-RZFY,"Mister Mary Jane LLC","Mister Mary Jane",Dispensary,DUNCAN,Stephens,2023-09-29
DAAA-4YKZ-SHBW,"Bo and Ja Trucking Corp","The Wild Wood Weed",Dispensary,"OKLAHOMA CITY",Oklahoma,2023-02-28
DAAA-41NI-4FPS,"Mainstreet 420 Shop","Mainstreet 420 Shop",Dispensary,Binger,Caddo,2023-05-23
DAAA-44MU-XJRF,"Hardee Pharms LLC","Hardee Pharms LLC",Dispensary,CALUMET,Canadian,2024-03-31
DAAA-HAAS-FAKO,"Fire Depot Dispensary","Fire Depot Dispensary",Dispensary,"OKLAHOMA CITY",Oklahoma,2023-10-20
DAAA-EKXF-XRVF,"Pot Luck Dispensary, LLC","Pot Luck Dispensary, LLC",Dispensary,LAWTON,Comanche,2024-03-13
DAAA-VKK4-QESC,"The Green Tumbleweed, LLC","The Green Tumbleweed",Dispensary,LAWTON,Comanche,2023-10-20
DAAA-41ZP-SHYN,"Southern Plains Processing, LLC","Southern Plains Processing, LLC",Dispensary,APACHE,Caddo,2023-12-11
DAAA-G0FY-INCY,"The Station Cannabis Company, LLP","The Station Cannabis Company, LLP",Dispensary,"RED OAK",Latimer,2023-10-20
DAAA-ARU5-CVDO,"Smoky Dreams Dispensary LLC","Smoky Dreams",Dispensary,Grove,Delaware,2024-02-01
DAAA-VYAX-5NNV,"Oklahoma Native Roots Health and Wellness, LLC","Oklahoma Native Roots Health and Wellness, LLC",Dispensary,DUNCAN,Stephens,2024-01-09
DAAA-4JHK-XHKP,"Vice Capital Dispensary LLC","Lotus Gold",Dispensary,"OKLAHOMA CITY",Oklahoma,2023-12-27
DAAA-4YD1-QVUT,"The Greenwood Cure Inc","The Greenwood Cure Inc",Dispensary,TULSA,Tulsa,2024-02-07
DAAA-EJNZ-2COE,"3 Leafs Dispensary, LLC","3 Leafs Dispensary, LLC",Dispensary,TULSA,Tulsa,2024-03-27
DAAA-XLVV-AOEQ,"Green medical patients LLC",Greendoctor420,Dispensary,"OKLAHOMA CITY",Cleveland,2023-11-10
DAAA-BH3E-9X0L,"J-J Weed Company, LLC","The Reefer Shack",Dispensary,SEMINOLE,Seminole,2023-10-30
DAAA-VJNL-SLFW,"Smart Stop LLC","Smart Stop LLC",Dispensary,WEWOKA,Seminole,2023-02-27
DAAA-KNV0-EI2B,"Rough Country Cannabis","Rough Country Cannabis",Dispensary,Durant,Bryan,2023-10-02
DAAA-UZUV-KVSE,"PAIN FREE BUDS RX, LLC","PAIN FREE BUDS",Dispensary,PURCELL,McClain,2022-11-27
DAAA-V1OQ-I54K,"B and B Alternatives LLC","The Remedy",Dispensary,DURANT,Bryan,2024-01-09
DAAA-4KRM-DKJ1,"Emerald Group, Inc.","The Healing Club",Dispensary,"OKLAHOMA CITY",Oklahoma,2024-10-04
DAAA-TYLZ-TRCZ,"Angel Farmhouse LLC","TNT Cannabis Group",Dispensary,"OKLAHOMA CITY",Oklahoma,2023-10-03
DAAA-N1WL-B1AY,"THC The Healing Clinic, LLC","THC The Healing Clinic, LLC",Dispensary,"Medicine Park",Comanche,2023-09-30
DAAA-ZECW-JEGY,"PLNT46 LLC","Native Brothers Dispensary on Santa Fe",Dispensary,EDMOND,Oklahoma,2022-10-19
DAAA-NKXZ-IZZ0,"Viva Sativa L.L.P.","Viva Sativa L.L.P.",Dispensary,Talihina,"Le Flore",2024-03-07
DAAA-NYUI-NCNJ,"The Two Romans Garden LLC","State Line Dispensary of Roland",Dispensary,ROLAND,Sequoyah,2023-12-10
DAAA-4JBP-8NGW,"Peaceful ReLeaf LLC","Peaceful ReLeaf LLC",Dispensary,TULSA,Tulsa,2023-12-25
DAAA-FULS-S8EF,"The House of Chronic LLC","The House of Chronic LLC",Dispensary,"Del City",Oklahoma,2024-08-24
DAAA-NYPB-NOFT,"Good Vibes Dispensary LLC","Good Vibes Dispensary",Dispensary,STILWELL,Adair,2023-12-25
DAAA-V1SN-BQ8I,"State Line Dispensary LLC","State Line Dispensary of West Siloam Springs",Dispensary,Colcord,Delaware,2023-09-12
DAAA-TDXG-SXCC,"Pristine and Green LLC","Pristine and Green LLC",Dispensary,PRAGUE,Pottawatomie,2023-12-20
DAAA-IEYD-5IMO,"Platinum budz LLC","Groovy budz",Dispensary,MOORE,Cleveland,2023-10-02
DAAA-IUXC-L0XZ,"AG and KP Enterprises, L.L.C.","The Green Mile II",Dispensary,"DEL CITY",Oklahoma,2024-01-12
DAAA-T3MO-4QZS,"KOLI BLOOM LLC","KOLI BLOOM - MIAMI",Dispensary,MIAMI,Ottawa,2024-07-05
DAAA-NKT8-E6NU,"RELEAF DISPENSARY LLC","RELEAF DISPENSARY LLC",Dispensary,"DEL CITY",Oklahoma,2023-09-27
DAAA-UHTR-OA1R,"Big Ass Buds, LLC","Exotic Stash Dispensary",Dispensary,Newcastle,McClain,2023-09-14
DAAA-E17G-IGDX,"JIM'S RED BARN, LLC","ZAFRA 420 DISPENSARY",Dispensary,SMITHVILLE,"Le Flore",2023-11-17
DAAA-EKYN-VDOL,"Puff Puff Pass Dispensary LLC","Puff Puff Pass Dispensary LLC",Dispensary,POTEAU,"Le Flore",2023-08-08
DAAA-4JBG-TECD,"Altcare 12 LLC","Fire Leaf 12",Dispensary,"OKLAHOMA CITY",Oklahoma,2024-05-03
DAAA-Q6AR-XCUB,"Rolling Stone Laverne Dispensary LLC","Rolling Stoned Laverne",Dispensary,Laverne,Harper,2024-01-01
DAAA-JTJY-CA3H,"GOODIES SMOKEY GREEN LLC","GOODIES GANJA EXPRESS",Dispensary,"OKLAHOMA CITY",Oklahoma,2023-12-05
DAAA-P7A2-4N4S,"Wendell Michael Murphree","Bud Barn Discount Dispensary",Dispensary,DURANT,Bryan,2024-06-07
DAAA-EJAO-WHGM,"F5 MED LLC","Seed Cannabis Co.",Dispensary,Tulsa,Tulsa,2024-05-24
DAAA-VJNC-UVFP,"Mary Jane Dispensary, LLC","Mary Jane Dispensary",Dispensary,MOORE,Cleveland,2024-03-08
DAAA-R5E2-IWE3,"Turtleponics LLC","Elemental Progress",Dispensary,YUKON,Canadian,2024-09-19
DAAA-EJDC-BIR8,"Crystal Cannivore LLC","Crystal Cannivore",Dispensary,PAWHUSKA,Osage,2023-10-25
DAAA-S4QE-25QE,"Nature's Cure Dispensary lll LLC","Nature's Cure Dispensary lll LLC",Dispensary,Edmond,Oklahoma,2023-03-01
DAAA-4JK0-LLS7,"918 ROOTS LLC","918 ROOTS",Dispensary,MUSKOGEE,Muskogee,2023-05-16
DAAA-NYQV-JUNQ,"Michael Dwain Cook","The Green Herb Cannabis Depot",Dispensary,"PONCA CITY",Kay,2023-12-11
DAAA-NJ3G-QDZR,"FS1113, LLC","Capital Dank Shawnee",Dispensary,SHAWNEE,Pottawatomie,2024-01-09
DAAA-4JRX-HCGD,"American Dispensary LLP","American Dispensary LLP",Dispensary,Cleveland,Pawnee,2023-08-04
DAAA-W3SN-WU0Y,"Greenhouse Partners, LLC","Greenhouse Partners, LLC",Dispensary,"OKLAHOMA CITY",Oklahoma,2023-12-14
DAAA-ZBFN-R9EO,"33 DISPENSARY LLC","33 Dispensary",Dispensary,DRUMRIGHT,Creek,2023-08-08
DAAA-X356-CNBQ,"NFUZE LLC","NFuze at Shawnee",Dispensary,SHAWNEE,Pottawatomie,2024-01-10
DAAA-EYF3-JROL,"World of Weed 2, LLC","World of Weed 2, LLC",Dispensary,COLLINSVILLE,Tulsa,2024-04-24
DAAA-VYAA-PQOB,"Tulsa Tokes, Inc.","T-Town Medical Marijuana Dispensary",Dispensary,TULSA,Tulsa,2024-02-08
DAAA-FNOB-9N78,"Down to Cloud Dispensary, LLC","Down To Cloud",Dispensary,PERRY,Noble,2023-09-27
DAAA-MPXP-IQJR,"STAY BUZZN INC","STAY BUZZN INC",Dispensary,TULSA,Tulsa,2024-09-15
DAAA-CMMO-2QYI,"3404 Budz LLc","Royal Budz",Dispensary,"Del City",Oklahoma,2023-10-20
DAAA-QMFZ-8ZND,"Kushmart, LLC",Meduana,Dispensary,"OKLAHOMA CITY",Oklahoma,2024-05-24
DAAA-EKE1-9RYV,"Stoned 4 Survival L.L.C.","Stoned 4 Survival",Dispensary,Grant,Choctaw,2023-11-06
DAAA-EKXA-W2IN,"ELEVATE APOTHIC LLC","Elevated Apothic Dispensary",Dispensary,TAHLEQUAH,Cherokee,2024-01-31
DAAA-41CO-VQHS,"Right Time Medical, LLC","Lotus Gold Tahlequah",Dispensary,Tahlequah,Cherokee,2024-02-21
DAAA-AJAL-HIHJ,"Kee Kee's Kush LLC","Kee Kee's Kush",Dispensary,"OKLAHOMA CITY",Oklahoma,2023-12-14
DAAA-JJX4-D7OP,"D-LUXE DISPENSARY, LLC","D-LUXE DISPENSARY, LLC",Dispensary,SAPULPA,Creek,2024-03-28
DAAA-GIMA-0EKU,"Cannabless Retail 17 LLC","Cannabless Retail 17 LLC",Dispensary,CHICKASHA,Grady,2025-06-09
DAAA-XCQT-RRVQ,"KK Cannabis Holdings, LLC","Euphoria Extracts 8315",Dispensary,"OKLAHOMA CITY",Oklahoma,2023-10-26
DAAA-VJEU-YEZU,"Starbuds Dispensary LLC","Starbuds Dispensary LLC",Dispensary,LAWTON,Comanche,2024-04-04
DAAA-VYO3-YQHF,"Oasis Healing Center LLC","Oasis Cannabis",Dispensary,MOORE,Cleveland,2024-03-08
DAAA-EKHO-QAZZ,"DMBE LLC","Kure Collective",Dispensary,"OKLAHOMA CITY",Oklahoma,2023-12-19
DAAA-EJRS-5FMU,"BIG CHEEF DISPENSARY LLC","BIG CHEEF DISPENSARY LLC",Dispensary,"Del City",Oklahoma,2023-10-04
DAAA-VY5S-OIJ6,"KD Ventures LLP","THE FARMACY DISPENSARY",Dispensary,"OKLAHOMA CITY",Cleveland,2024-03-22
DAAA-AMIQ-YJWZ,"FREEDOM CANNABIS DISPENSARY LLC","FREEDOM CANNABIS DISPENSARY",Dispensary,"DEL CITY",Oklahoma,2023-11-01
DAAA-5EFU-GXQI,"Charlie and The Weed Factory, LLC","Charlie and the Weed Factory",Dispensary,LAWTON,Comanche,2023-10-13
DAAA-EKFV-BQ4X,"Sweet Leaf Farmacy LLC","Sweet Leaf Farmacy",Dispensary,Cartwright,Bryan,2023-09-30
DAAA-EYPO-LQZG,"Aunt B's Remedies LLC","Aunt B's Remedies LLC",Dispensary,Ryan,Jefferson,2024-02-14
DAAA-4JPQ-UZT6,"Wayne's World Dispensary, LLC","Wayne's World Dispensary, LLC",Dispensary,CAMERON,"Le Flore",2024-03-20
DAAA-VYJV-JR8M,"Living Well Canabis Dispensary LLC","Living Well Dispensary",Dispensary,VERDEN,Grady,2023-09-27
DAAA-NYIA-XAUL,"PIRPICH INDUSTRIES, LLC","Big Buds Dispensary",Dispensary,OWASSO,Tulsa,2024-04-11
DAAA-CVE5-QQRY,"Arbuckle Farmacy LLC","Arbuckle Farmacy LLC",Dispensary,SULPHUR,Murray,2023-11-02
DAAA-JFXY-EBX8,"Dank Banq, LLC","Dank Banq, LLC",Dispensary,Glenpool,Tulsa,2024-03-29
DAAA-9A59-2HZF,"Lemon Land LLC","Lemon Cannabis Edmond",Dispensary,Edmond,Oklahoma,2024-09-26
DAAA-BJKR-XKFR,"HAPPY JACKS DISPENSARY LLC","HAPPY JACKS DISPENSARY LLC",Dispensary,WOODWARD,Woodward,2023-07-05
DAAA-TZQN-U3VL,"Pirpich Industries LLC","Big Buds Natural Releaf",Dispensary,TULSA,Tulsa,2024-07-14
DAAA-NK0S-3ZXL,"K & K Enterprises LLC",Broadleaf,Dispensary,OWASSO,Tulsa,2024-01-10
DAAA-UTLH-O12D,"THE SMOKEHOUSE DISPENSARY, LLC","THE SMOKEHOUSE DISPENSARY, LLC",Dispensary,TULSA,Tulsa,2023-12-06
DAAA-4KGG-4ICW,"GREEN REMEDIES, LLC","GREEN REMEDIES",Dispensary,Hugo,Choctaw,2024-03-21
DAAA-NKJ6-9STH,"Tree Life Dispensary LLC","Tree Life dispensary",Dispensary,"WARR ACRES",Oklahoma,2023-03-21
DAAA-EJYL-3Y68,"OKLATEX HOLDINGS LLC","MARI MED",Dispensary,BIXBY,Tulsa,2023-09-18
DAAA-4YSV-JWKB,"The Green Collective Dispensary, LLC","The Green Collective",Dispensary,"Oklahoma City",Oklahoma,2024-01-12
DAAA-EYEZ-VJEY,"Green Horizons, LLC","Flight 420",Dispensary,WATTS,Delaware,2023-08-31
DAAA-V16J-CHBM,"Dubway Dispensary LLC","Dubway Dispensary LLC",Dispensary,STILLWATER,Payne,2023-11-14
DAAA-FLO6-KYQK,"Sun Valley Management LLC","Chouteau House of Fire",Dispensary,Chouteau,Rogers,2023-11-06
DAAA-VJO1-VDFW,"MME Enterprises LLC","Gifted Dispensary",Dispensary,YUKON,Canadian,2024-03-01
DAAA-HJI7-JJUV,"Medicinal Life Headquarters, LLC","Medicinal Life Headquarters, LLC",Dispensary,TULSA,Tulsa,2023-08-07
DAAA-MLPN-BRAJ,"KBNS INC","Sasquatch Gardens",Dispensary,MCALESTER,Pittsburg,2024-03-15
DAAA-NYXB-G65N,"GREEN CULTURE, LLC","GREEN CULTURE JAY",Dispensary,JAY,Delaware,2023-11-08
DAAA-VKED-VD4W,"Stars and Stripes Dispensary 2, LLC","Stars and Stripes Dispensary 2, LLC",Dispensary,"OKLAHOMA CITY",Cleveland,2023-12-25
DAAA-RT34-CAQQ,"L1F3 Capital LLC","L1F3 Experience",Dispensary,"OKLAHOMA CITY",Oklahoma,2023-10-11
DAAA-NJK1-HL7Q,"ReLeaf Organics, LLC","ReLeaf Organics",Dispensary,CLAREMORE,Rogers,2023-10-18
DAAA-7J5J-WQUI,"Molly Asset Management, Inc.,","The Herbin Joint, AKA Herbin Joint",Dispensary,"SAND SPRINGS",Tulsa,2023-10-06
DAAA-NAK2-3HWX,"Raw Wellness LLC","Raw Wellness",Dispensary,CUSHING,Payne,2023-07-11
DAAA-NJ7J-28N7,"Jade Wellness Center LLC","Jade Wellness Center",Dispensary,Tulsa,Tulsa,2023-09-27
DAAA-CPRU-FNUQ,"Bumpy Brick Dispensary, LLC","Bumpy Brick Dispensary, LLC",Dispensary,WEWOKA,Seminole,2023-11-27
DAAA-41JA-OPSU,"B2B Ventures LLC","B2B Ventures LLC",Dispensary,"OKLAHOMA CITY",Oklahoma,2023-11-17
DAAA-41OT-ZVO5,"DE AND SE, INC","CHILLIN' STATION",Dispensary,MCALESTER,Pittsburg,2024-05-30
DAAA-JQEW-7LYU,"Green medical patients LLC","Greendoctor 420",Dispensary,"OKLAHOMA CITY",Oklahoma,2024-05-10
DAAA-DJ2A-PYDY,"Red Dirt Experience LLC","Red Dirt Experience LLC",Dispensary,MUSTANG,Canadian,2024-02-28
DAAA-30OZ-ANND,"Peer Pressure Dispensary LLC","Peer Pressure Dispensary LLC",Dispensary,"OKLAHOMA CITY",Oklahoma,2023-11-03
DAAA-BTLO-I8RW,"Natures Remedy Farmacy LLC","Natures Remedy Farmacy",Dispensary,Crescent,Logan,2024-02-01
DAAA-NYUO-NUKI,"Royal Leaf, LLC","Royal Leaf Dispensary",Dispensary,MCALESTER,Pittsburg,2022-10-02
DAAA-E1E1-FZWQ,"Dr Z Leaf LLC","Dr Z Leaf LLC",Dispensary,TULSA,Tulsa,2023-09-12
DAAA-VKIQ-HBYV,"Corner Booth, LLC","Chill Dispensary",Dispensary,"OKLAHOMA CITY",Oklahoma,2024-01-14
DAAA-4Y4T-NS31,"Green Bloc, LLC","Green Bloc",Dispensary,"OKLAHOMA CITY",Oklahoma,2024-02-01
DAAA-4KPF-DNDU,"Friendly Market, Inc.","Friendly Market",Dispensary,NORMAN,Cleveland,2024-05-31
DAAA-4JDF-WTVS,"Green Matrix LLC","Green Solution",Dispensary,Muldrow,Sequoyah,2024-01-04
DAAA-4KEH-WLJ9,"Wicked Sister's Cannabis Company LLC","Wicked Sister's Cannabis Company LLC",Dispensary,FAIRVIEW,Major,2023-10-19
DAAA-3OLH-PHHR,"Just Another Bowl Inc","Just Another Bowl",Dispensary,TULSA,Tulsa,2023-08-18
DAAA-V7T5-QNG5,"ZIGGY'Z MEDICAL MEAN'S LLC","ZIGGY'Z MEDICAL MEAN'S LLC",Dispensary,"OKLAHOMA CITY",Oklahoma,2023-10-18
DAAA-EYFQ-9GUI,"Ezy's House of Dank, LLC","Ezy's House of Dank, LLC",Dispensary,TULSA,Tulsa,2024-02-01
DAAA-4YV7-MSQA,"Phaded Dreams, LLC","Phaded Dreams",Dispensary,CATOOSA,Rogers,2023-10-19
DAAA-EHJZ-247X,"GANJA CITY III LLC","GANJA CITY III LLC",Dispensary,EDMOND,Oklahoma,2023-12-22
DAAA-4YQK-9KZD,"Big Poppa's LLC","Big Poppa's Joint",Dispensary,THACKERVILLE,Love,2024-02-28
DAAA-KQ2H-1FGK,"Big Country Investment Group Corp.","Country Cannabis Wholesale Outlet",Dispensary,"LONE GROVE",Carter,2023-10-18
DAAA-VKLI-5F9M,"BIG BUD DISPENSARY INC","Big Buds Dispensary",Dispensary,DEWEY,Washington,2023-09-27
DAAA-EKZX-LQMF,"Fluffys Apothecary Inc.","Fluffy's Apothecary",Dispensary,LAWTON,Comanche,2024-03-01
DAAA-VKYF-AQHD,"twice baked edibles LLC","green plus",Dispensary,"OKLAHOMA CITY",Oklahoma,2023-09-12
DAAA-E1LP-CEFC,"Green medical patients LLC","Greendoctor 420",Dispensary,"DEL CITY",Oklahoma,2023-11-02
DAAA-EYPQ-ZETA,"Natural Roots Dispensary LLC","Natural Roots Dispensary LLC",Dispensary,"BROKEN ARROW",Tulsa,2024-01-10
DAAA-410C-MC5W,"AandWHPMD, LLC","Canna Resort",Dispensary,ARDMORE,Carter,2024-03-08
DAAA-MMZ3-ASWX,"Highway 177 Dispensary llc","Highway 177 Dispensary",Dispensary,"RED ROCK",Noble,2024-01-10
DAAA-E1AI-ABNY,"Gibbs Green Delivery Service Inc","Gibbs Green Delivery Service Inc",Dispensary,TULSA,Tulsa,2023-08-07
DAAA-EKB0-JWTJ,"URBAN LEAF COMPANY LLC.","URBAN LEAF COMPANY LLC.",Dispensary,CHOCTAW,Oklahoma,2024-03-17
DAAA-BJZM-UQM3,"As Real As It Gets, LLC","High Decibel Alternative",Dispensary,"OKLAHOMA CITY",Oklahoma,2023-12-06
DAAA-EPI6-5ZLA,"LIVWELL MEDS of Calera Inc","Livwell Meds of Sulphur",Dispensary,SULPHUR,Murray,2023-10-25
DAAA-NJ5W-8HF8,"Better Marijuana Productions LLC","The Plug 918",Dispensary,TULSA,Tulsa,2024-03-22
DAAA-4JNX-IFTZ,"BUZZN DISPENSARY INC","BUZZN CANNABIS COMPANY",Dispensary,"BROKEN ARROW",Tulsa,2023-10-09
DAAA-NYDZ-NTNK,"Bella Flores Marijuana Dispensary LLC","Dank's Wellness Emporium Norman",Dispensary,Norman,Cleveland,2023-10-25
DAAA-7F8I-VSRH,"BIG CHEEF DISPENSARY LLC","BIG CHEEF DISPENSARY LLC",Dispensary,MUSKOGEE,Muskogee,2023-10-18
DAAA-VYZK-YEUM,"OKAF, Inc","Apothecary Extracts",Dispensary,"OKLAHOMA CITY",Oklahoma,2023-10-24
DAAA-GHE8-CVRB,"1100 N Porter, LLC","Flight Club Norman",Dispensary,Norman,Cleveland,2024-08-02
DAAA-4JUM-5PD9,"Local Leaf RX LLC","Local Leaf RX LLC",Dispensary,TECUMSEH,Pottawatomie,2023-10-31
DAAA-QX6Y-MHM5,"DOK CORPORATION","DANK CANNABIS DISPENSARY",Dispensary,TULSA,Tulsa,2023-11-15
DAAA-9PSA-U0ZR,"KILLA BUZZ PREMIUM DISPENSARY LLC","KILLA BUZZ PREMIUM DISPENSARY LLC",Dispensary,"PAULS VALLEY",Garvin,2023-11-15
DAAA-4KI2-HTEK,"HAPPA WELLNESS II LLC","Happa Wellness II",Dispensary,"Oklahoma City",Oklahoma,2023-10-31
DAAA-EO9X-Z3NF,"HUYLINH LLC","PHAT PHARM",Dispensary,DURANT,Bryan,2023-01-13
DAAA-6LSA-OQSJ,"SMYLES DISPENSARY 1 LLC","Smyles Dispensary 1",Dispensary,TALIHINA,"Le Flore",2023-09-26
DAAA-VA3A-PRMR,420/7,420/7,Dispensary,KANSAS,Delaware,2022-09-26
DAAA-N1KC-THNB,"Kavas LLC","Green Sunshine",Dispensary,"Oklahoma City",Oklahoma,2024-01-09
DAAA-NKTR-GXPR,"Memorial Drive Dispensary LLC","Memorial Drive Dispensary",Dispensary,TULSA,Tulsa,2022-12-06
DAAA-HTOO-3WFR,"Ogre Village, LLC","Ogre Village",Dispensary,EUFAULA,McIntosh,2023-12-08
DAAA-CGA8-VV1X,"Tink's Spot Dispensary LLC","Tink's Spot Dispensary",Dispensary,"OKLAHOMA CITY",Oklahoma,2023-11-27
DAAA-VKNK-BEOP,"Party Moore, LLC",CANNABOX,Dispensary,MOORE,Cleveland,2023-10-23
DAAA-NJYA-AADH,"825 S 19th St LLC","825 S 19th St LLC",Dispensary,MOORE,Cleveland,2024-03-16
DAAA-RKJT-SREJ,"K’s Dispo LLC","K’s Dispo LLC",Dispensary,EUFAULA,McIntosh,2023-09-19
DAAA-CHWF-LP3D,"SK AFFILIATES GROUP LLC","GREEN GARDEN",Dispensary,Dustin,Hughes,2023-12-06
DAAA-EKXZ-1WUL,"Lokal Source LLC","Lokal Source",Dispensary,OWASSO,Tulsa,2024-05-24
DAAA-EZMU-NLZB,"Texoma Tumbleweed 2, LLC","Texoma Tumbleweed 2, LLC",Dispensary,MARIETTA,Love,2023-11-08
DAAA-ECTS-GSWZ,"Mary Jane's Dank House, LLC","Mary Jane's Dank House, LLC",Dispensary,"OKLAHOMA CITY",Oklahoma,2024-07-28
DAAA-BMSS-SU2N,"NW 50th Dispensary LLC","Elite Cannabis NW 50th",Dispensary,"OKLAHOMA CITY",Oklahoma,2024-05-10
DAAA-4JKY-SIEU,"Alternative Healthcare Dispensary, LLC","Alternative Healthcare Dispensary, LLC",Dispensary,SAPULPA,Creek,2024-04-18
DAAA-NKT8-BHRD,"Pinkie's Forest Terpene Bar and Dispensary,, LLC","Pinkie's Forest Terpene Bar and Dispensary,, LLC",Dispensary,PURCELL,McClain,2024-02-01
DAAA-C2RS-3RFL,"The Exclusive Dispensary, LLC","The Exclusive Dispensary, LLC",Dispensary,ARDMORE,Carter,2023-10-27
DAAA-NYC9-UF3X,"Terra Wellness LLC","Terra Wellness LLC",Dispensary,"OKLAHOMA CITY",Oklahoma,2023-09-12
DAAA-4JWA-EEBP,"ONE LOVE ALTERNATIVE INC","ONE LOVE ALTERNATIVE INC",Dispensary,KINGSTON,Marshall,2023-09-26
DAAA-MA4U-R2VF,"Fantastic Rise, LLC","Fantastic Rise",Dispensary,"OKLAHOMA CITY",Oklahoma,2023-03-14
DAAA-NKWV-S954,"Frontier Medicine, LLC","Frontier Medicine, LLC",Dispensary,EDMOND,Oklahoma,2023-10-31
DAAA-9QTL-JMH2,"KyRock Farmacy, LLC","Bloomers Dispensary and Sundries",Dispensary,TULSA,Tulsa,2023-08-21
DAAA-VYG4-8IBN,"Highway 48 Bud Shop, LLC","Highway 48 Bud Shop, LLC",Dispensary,Mannford,Creek,2024-02-01
DAAA-Z6A5-DQDD,"Spark Cannabis Co","Spark Cannabis Co",Dispensary,LAWTON,Comanche,2023-09-26
DAAA-O15G-QC3F,"W Lindsey Dispensary LLC","Xclusive Cannabis Lindsey",Dispensary,Norman,Cleveland,2024-05-04
DAAA-VOM8-YWTR,"The Side Door LLC","The Side Door LLC",Dispensary,Wagoner,Wagoner,2023-10-17
DAAA-ZFUG-RBZK,"Tha Spot Dispensary LLC","Tha Spot Dispensary LLC",Dispensary,"Oklahoma City",Woodward,2023-11-22
DAAA-SFS7-LQT0,"Freedom Road OK, LLC","HWY LINES",Dispensary,"OKLAHOMA CITY",Oklahoma,2023-08-17
DAAA-4KAJ-A0PL,"Corporation Asset Network Association, LLC","Minerva Canna of Oklahoma",Dispensary,"BROKEN ARROW",Tulsa,2023-09-15
DAAA-DTLO-KMTZ,"JOMBOS ISLAND STYLE DISPENSARY RX LLC","JOMBOS ISLAND STYLE DISPENSARY RX LLC",Dispensary,TULSA,Tulsa,2024-05-09
DAAA-2B4Y-EKFT,"Anathallo Wellness LLC","Anathallo Wellness",Dispensary,"OKLAHOMA CITY",Oklahoma,2024-04-14
DAAA-N1PD-UKUI,"Casper & Graves Smith, Inc","All City Plug",Dispensary,"OKLAHOMA CITY",Oklahoma,2023-10-11
DAAA-LN4H-X6BR,"C&C Brothers LLC","Gold Leaf Dispensary LLC",Dispensary,WOODWARD,Woodward,2024-05-30
DAAA-Y084-6TJX,"West Bend Dispensary of Claremore LLC","West Bend Dispensary of Claremore LLC",Dispensary,CLAREMORE,Rogers,2023-07-05
DAAA-KYEI-KSD3,"HARRIBO, LLC","The Green Temple",Dispensary,"Midwest City",Oklahoma,2023-10-12
DAAA-NKDR-WS57,"Greenest of Them All, LLC","Greenest of Them All, LLC",Dispensary,ARDMORE,Carter,2023-09-15
DAAA-PO7A-IDEG,"SMOKE AROMA LLC","SMOKE AROMA",Dispensary,OKEMAH,Okfuskee,2022-12-06
DAAA-NYTT-JQOG,"THE GOOD LEAF L.L.C.","THE GOOD LEAF L.L.C.",Dispensary,WAGONER,Wagoner,2024-04-25
DAAA-4YQQ-W8WB,"Taylor Oversee, Inc.","Tulsa Dispensary",Dispensary,TULSA,Tulsa,2023-10-10
DAAA-U01E-VB9D,"Deel'N Green'Z LLC","Deel'N Green'Z LLC",Dispensary,Panama,"Le Flore",2022-04-04
DAAA-5XTR-LK7W,"Peace Leaf, Ltd. Co.","Peace Leaf, Ltd. Co.",Dispensary,PRYOR,Mayes,2023-09-08
DAAA-GWPR-QEKU,"IGGYS GREEN RUSH #2, LLC","Iggys Green Rush #2, LLC",Dispensary,ALVA,Woods,2023-09-27
DAAA-NYIL-RNWD,"Scott Cunningham Enterprises LLC","Flippin Farms of Blackwell",Dispensary,BLACKWELL,Kay,2023-10-19
DAAA-EKIT-MAE6,"Clutch Enterprises, LLC","The Circle Midtown OKC",Dispensary,"OKLAHOMA CITY",Oklahoma,2023-09-25
DAAA-4JQJ-VXFK,"Teresa Bilyeu Inc","Texoma Tumbleweed",Dispensary,MARIETTA,Love,2023-10-19
DAAA-C9PF-QIQ2,"KFK PORTLAND LLC","K FOR KUSH",Dispensary,"OKLAHOMA CITY",Oklahoma,2024-05-05
DAAA-VYBL-AKIL,"High Roller Investments, Inc.","Lotus Gold Jenks",Dispensary,JENKS,Tulsa,2023-10-18
DAAA-VKSX-KJRM,"NFUZE LLC","NFuze at Keystone",Dispensary,"SAND SPRINGS",Osage,2023-09-26
DAAA-NKBJ-IUEQ,"Healing Hope L.L.C","Healing Hope L.L.C",Dispensary,WOODWARD,Woodward,2024-05-10
