"License No.","Business Name",DBA,"License Type",City,County,Expiration
DAAA-EJKA-KO9V,"ERKS LLC","The Cannabis Refinery",Dispensary,Edmond,Oklahoma,2023-11-07
DAAA-NCND-KEW4,"Great American Strains, Inc","Great American Strains, Inc",Dispensary,SKIATOOK,Osage,2023-09-08
DAAA-E1VK-BZUO,"3 Bud's Dispensary Inc.","3 Bud's Dispensary Inc.",Dispensary,Tulsa,Tulsa,2023-08-11
DAAA-E1KI-OJQV,"Sunshine Cooperative LLC","The Joint Cannabis Club",Dispensary,NEWCASTLE,McClain,2023-10-09
DAAA-56MP-QY5F,"Little River Retailers LLC","Wild Herb South",Dispensary,Idabel,McCurtain,2023-07-11
DAAA-PPOK-DMAT,"Holler Boyz Farms LLC","Revamped Remedies",Dispensary,"BROKEN ARROW",Tulsa,2024-05-12
DAAA-EJI4-MIIF,"Red Dirt Botanicals, LLC","Red Dirt Botanicals, LLC",Dispensary,Blackwell,Kay,2023-12-06
DAAA-4JNA-5VGU,"Blazon Dispensary LLC","Blazon Dispensary LLC",Dispensary,SHAWNEE,Pottawatomie,2024-02-07
DAAA-4K9F-Q4UK,"Showdown Enterprises LLC",Heaters,Dispensary,EDMOND,Oklahoma,2023-12-26
DAAA-CMEC-439J,"Abliss Bud LLC","Abliss Bud LLC",Dispensary,TAHLEQUAH,Cherokee,2022-09-27
DAAA-NKDV-93ZU,"American cannabis Company - 7 LLC","American Cannabis Company",Dispensary,"Warr Acres",Oklahoma,2024-05-23
DAAA-KH7S-H68N,"The Mutha Tree, LLC","The Mutha Tree",Dispensary,"OKLAHOMA CITY",Oklahoma,2023-11-01
DAAA-AAEV-OVLK,"The Two Romans Garden LLC","West Siloam Springs Dispensary",Dispensary,Colcord,Delaware,2023-10-11
DAAA-VKJ7-JSBT,"Mccurtain wellness holdings, inc","The One and Oney Wholeness Apothecary",Dispensary,IDABEL,McCurtain,2023-12-06
DAAA-BNQ9-QIWZ,"Mr. Herb LLC","Mr. Herb LLC",Dispensary,JAY,Delaware,2023-11-01
DAAA-VK7E-XOM8,"Cali Clouds, LLC","Cali Clouds LLC",Dispensary,ARDMORE,Carter,2024-05-30
DAAA-VJXU-1WVS,"Pak-Man Cannabis Co. #1","Pak-Man Cannabis Co. #1",Dispensary,CHICKASHA,Grady,2023-08-24
DAAA-41CF-9PHM,"Kush Dispensary, LLC","Kush Dispensary, LLC",Dispensary,TULSA,Tulsa,2023-12-04
DAAA-TXA5-38WH,"The Medical Joint Dispensary, LLC","The Medical Joint Dispensary, LLC",Dispensary,"Broken Bow",McCurtain,2023-11-08
DAAA-NJ6L-DRSW,"Hemp Station Dispensary, LLC","Hemp Station Dispensary",Dispensary,NEWKIRK,Kay,2024-02-01
DAAA-EJL6-1NWA,"Rylie's Green Leaf LLC","Rylie's Green Leaf LLC",Dispensary,LAWTON,Comanche,2023-12-12
DAAA-ZGAT-E3TX,"Reggie LLC","Homestead Harvest",Dispensary,MIAMI,Ottawa,2023-10-16
DAAA-4KPI-PI8I,"Organic Meds, LLC","Organic Meds, LLC",Dispensary,DURANT,Bryan,2023-10-20
DAAA-85FQ-VMDP,"Elevated Native LLC","Elevated Native LLC",Dispensary,CALERA,Bryan,2023-09-13
DAAA-0H13-9WGO,"Stone Age Meds LLC","Stone Age Meds",Dispensary,Tulsa,Tulsa,2023-12-25
DAAA-NJJ9-RMEI,"Flame Dispensary LLC","Flame Dispensary LLC",Dispensary,MOORE,Cleveland,2023-09-20
DAAA-LPSY-EUDL,"The Baked Bean LLC","The Baked Bean",Dispensary,SAPULPA,Creek,2024-03-07
DAAA-K0Z3-JBQR,"Ramiro Sanchez, LLC","Natural High",Dispensary,Sayre,Beckham,2023-10-10
DAAA-OVNU-7IUC,"Gas Pros, LLC","Gas Pros, LLC",Dispensary,EDMOND,Oklahoma,2024-05-16
DAAA-V151-CMBL,"Green Canopy Solutions, Inc","Green Canopy Solutions",Dispensary,CHELSEA,Rogers,2023-11-13
DAAA-ZQVS-HS7O,"HHMS, LLC","HHMS, LLC",Dispensary,Wyandotte,Ottawa,2023-12-11
DAAA-90AF-BYX2,"Fritz Fire House 4 LLC","Fritz Fire House 4 LLC",Dispensary,Welch,Craig,2023-12-11
DAAA-UCVF-KYRN,"The Church House Dispensary LLC","The Church House Dispensary LLC",Dispensary,WAYNE,McClain,2023-08-29
DAAA-DZBT-TU61,"TMDA Enterprise, LLC","High 5 Headquarters",Dispensary,DURANT,Bryan,2024-05-08
DAAA-V1SF-6F7D,"EVERYTHING GREEN RX, LLC","EVERYTHING GREEN RX",Dispensary,Minco,Grady,2023-11-02
DAAA-EKHA-ZMSW,"The Magical Forrest Marijuana Dispensary LLC","The Magical Forrest Marijuana Dispensary LLC",Dispensary,"midwest city",Oklahoma,2023-09-18
DAAA-FHTL-4PP6,"Nanas Joint LLC","Nanas Joint LLC",Dispensary,Salina,Mayes,2023-11-14
DAAA-N4GV-OG1J,"Danks 2 U LLC","Danks 2 U",Dispensary,TULSA,Tulsa,2023-11-15
DAAA-K8VP-3GVQ,"OGKUSH LLC","OG KUSH DISPENSARY",Dispensary,"OKLAHOMA CITY",Oklahoma,2023-07-07
DAAA-N1XF-PRGS,"DTN Retail LLC","Green Buffalo Dispensary #2",Dispensary,NORMAN,Cleveland,2024-02-09
DAAA-J9ZL-WDYC,"BCN Industries, LLC","High House Superstore",Dispensary,"OKLAHOMA CITY",Oklahoma,2023-11-13
DAAA-WZD3-T2IA,"A and R Med shop, LLC","MEDSHOP 405",Dispensary,"OKLAHOMA CITY",Oklahoma,2024-10-12
DAAA-N1LV-EMZR,"Green Culture LLC","Green Culture Pryor",Dispensary,PRYOR,Mayes,2023-03-09
DAAA-CFLS-HCXQ,"Nova Cannabis Company LLC","Nova Cannabis Company LLC of Marietta",Dispensary,MARIETTA,Love,2023-02-01
DAAA-BJLI-1WK0,"Heady Investment Company LLC","Heady Investment Company LLC",Dispensary,PRYOR,Mayes,2023-09-15
DAAA-SLRD-DZDV,"PJ KELLY DISPENSARY LLC","Xclusive Cannabis Kelly",Dispensary,EDMOND,Oklahoma,2023-10-31
DAAA-NH1K-VEVI,"Tanks Dank LLC","Tanks Dank LLC",Dispensary,Skiatook,Tulsa,2023-03-07
DAAA-I1JK-AJFD,"EFFUSION-HALL OF FLOWERS C-CORPORATION","BUD LIGHTZ",Dispensary,TULSA,Tulsa,2024-07-05
